event_id,event_name,event_url,event_date,event_time,event_genre,event_subgenre,min_price,max_price,ticket_limit,venue_id,venue_name,venue_city,venue_address,venue_state,venue_latitude,venue_longitude,venue_market,main_attraction
1ApZkvPGkeyCK8s,Pittsburgh Steelers vs. New York Jets,https://www.ticketmaster.com/pittsburgh-steelers-vs-new-york-jets-pittsburgh-pennsylvania-10-20-2024/event/16006065B9393431,2024-10-20,20:20:00,Football,NFL,50.0,1568.0,4.0,KovZpZAFa6nA,Acrisure Stadium,Pittsburgh,100 Art Rooney Avenue,Pennsylvania,40.446093,-80.015884,Pittsburgh,Pittsburgh Steelers
vvG1fZbu55FkXv,Training Camp Session 6,https://www.ticketmaster.com/training-camp-session-6-berea-ohio-08-21-2024/event/050060D2CB206F81,2024-08-21,13:00:00,Football,NFL,,,,KovZ917AIOU,CrossCountry Mortgage Campus,Berea,76 Lou Groza Blvd,Ohio,41.38199,-81.84976," Youngstown & More""",Cleveland Browns
vv17bZbkGkD7K7rC,Kansas City Chiefs v Chicago Bears - Preseason,https://www.ticketmaster.com/kansas-city-chiefs-v-chicago-bears-kansas-city-missouri-08-22-2024/event/0600606EC44C478E,2024-08-22,19:20:00,Football,NFL,20.0,998.0,4.0,KovZpZAF7E1A,GEHA Field at Arrowhead Stadium,Kansas City,1 Arrowhead Dr,Missouri,39.04921048,-94.48417065,Kansas City and More,Kansas City Chiefs
vvG1HZbFH8yp0S,Preseason Game Week 3 - Seattle Seahawks v Cleveland Browns,https://www.ticketmaster.com/preseason-game-week-3-seattle-seahawks-seattle-washington-08-24-2024/event/0F00608F10E56933,2024-08-24,19:00:00,Football,NFL,34.0,430.0,4.0,KovZpZAEknnA,Lumen Field,Seattle,800 Occidental Ave S,Washington,47.595083,-122.331607,Seattle Area,Seattle Seahawks
vvG1YZbaLwjfej,Dallas Cowboys vs. Philadelphia Eagles,https://www.ticketmaster.com/dallas-cowboys-vs-philadelphia-eagles-arlington-texas-11-10-2024/event/0C006097F271409C,2024-11-10,15:25:00,Football,NFL,,,4.0,KovZpZAJvndA,AT&T Stadium,Arlington,One AT&T Way,Texas,32.74790427,-97.09345578,Dallas - Fort Worth and More,Dallas Cowboys
k7vGFbahj60MI,New York Giants vs. Dallas Cowboys,https://www.ticketmaster.com/new-york-giants-vs-dallas-cowboys-east-rutherford-new-jersey-09-26-2024/event/00006096DC1E4DE8,2024-09-26,20:15:00,Football,NFL,150.0,998.0,4.0,KovZpakS7e,MetLife Stadium,East Rutherford,One MetLife Stadium Drive,New Jersey,40.81359,-74.074493,New York/Tri-State Area,New York Giants
G5dIZbGmrlwXS,Houston Texans Training Camp: Day 4,https://www.ticketmaster.com/houston-texans-training-camp-day-4-houston-texas-07-27-2024/event/3A0060CB9EAF2FB3,2024-07-27,08:00:00,Football,NFL,,,,KovZpZAEdFeA,NRG Stadium,Houston,One NRG Park,Texas,29.684885,-95.410875,Houston and More,Houston Texans
vvG1VZbal1J0OC,Miami Dolphins v Jacksonville Jaguars,https://www.ticketmaster.com/miami-dolphins-v-jacksonville-jaguars-miami-florida-09-08-2024/event/0D00609ACA9A480E,2024-09-08,13:00:00,Football,NFL,100.0,1600.0,4.0,KovZpZAEkvtA,Hard Rock Stadium,Miami,347 Don Shula Drive,Florida,25.957928,-80.238866,Miami,Miami Dolphins
G5dIZbGmrcxT4,Houston Texans Training Camp: Day 6,https://www.ticketmaster.com/houston-texans-training-camp-day-6-houston-texas-08-11-2024/event/3A0060CB9EB62FD5,2024-08-11,17:30:00,Football,NFL,,,,KovZpZAEdFeA,NRG Stadium,Houston,One NRG Park,Texas,29.684885,-95.410875,Houston and More,Houston Texans
vv17bZb7GkMCjpcr,Minnesota Vikings vs. Houston Texans,https://www.ticketmaster.com/minnesota-vikings-vs-houston-texans-minneapolis-minnesota-09-22-2024/event/0600604DCE716B5E,2024-09-22,12:00:00,Football,NFL,76.0,1150.0,4.0,KovZpZAF6ttA,U.S. Bank Stadium,Minneapolis,401 Chicago Avenue,Minnesota,44.973617,-93.257528,Minneapolis/St. Paul and More,Minnesota Vikings
